order_id,date,region,channel,category,status,units,revenue,cost,processing_hours
OP-00032,2026-08-07,Maule,Web,Equipamiento,Completada,8.0,1468729.0,,23.42
OP-00033,2026-05-13,Metropolitana,Ejecutivo,Equipamiento,Cancelada,5.0,781107.0,528388.0,36.11
OP-00034,2026-07-13,Metropolitana,Ejecutivo,Servicios,Completada,9.0,736539.0,413074.0,14.01
OP-00035,2026-08-05,Metropolitana,Web,Servicios,Completada,4.0,224277.0,139484.0,16.47
OP-00036,2026-03-01,Metropolitana,Ejecutivo,Insumos,Completada,5.0,295511.0,204493.0,15.14
OP-00037,2026-05-02,Metropolitana,Web,Servicios,Completada,6.0,426655.0,246621.0,13.51
OP-00038,2026-01-13,Valparaíso,Ejecutivo,Insumos,Completada,5.0,330843.0,235031.0,9.61
OP-00039,2026-05-27,Maule,,Equipamiento,Completada,5.0,706883.0,506305.0,25.11
OP-00040,2026-07-11,Metropolitana,Ejecutivo,Insumos,Completada,4.0,148982.0,103238.0,8.9
OP-00041,2026-03-09,Valparaíso,Web,Insumos,Completada,6.0,274742.0,184440.0,11.31
OP-00042,2026-08-13,Metropolitana,Marketplace,Repuestos,Cancelada,3.0,409422.0,357521.0,17.75
OP-00043,2026-04-14,Metropolitana,Teléfono,Servicios,Completada,3.0,270625.0,151542.0,17.49
OP-00044,2026-02-24,Valparaíso,Web,Insumos,Completada,1.0,64650.0,43460.0,9.15
OP-00045,2026-06-20,Metropolitana,Ejecutivo,Equipamiento,Completada,4.0,666765.0,456441.0,21.96
OP-00046,2026-07-11,Valparaíso,Teléfono,Servicios,Completada,4.0,458309.0,264481.0,27.28
OP-00047,2026-06-13,Biobío,Teléfono,Servicios,Completada,3.0,236631.0,127393.0,11.79
OP-00048,2026-04-21,Metropolitana,Web,Insumos,Completada,8.0,390415.0,255380.0,20.27
OP-00049,2026-06-15,Valparaíso,Web,Repuestos,Completada,3.0,405743.0,304626.0,22.82
OP-00050,2026-08-04,Biobío,Ejecutivo,Insumos,Completada,6.0,283372.0,193911.0,8.66
OP-00051,2026-03-08,Metropolitana,Ejecutivo,Equipamiento,Completada,4.0,860593.0,654510.0,8.71
OP-00052,2026-08-05,Antofagasta,Web,Equipamiento,Completada,6.0,1008355.0,715296.0,12.26
OP-00053,2026-01-19,Metropolitana,Web,Equipamiento,Completada,4.0,750513.0,570309.0,15.87
OP-00054,2026-05-23,La Araucanía,Ejecutivo,Insumos,Completada,3.0,173205.0,126235.0,30.73
OP-00055,2026-01-03,Biobío,Web,Servicios,Completada,1.0,83312.0,49135.0,14.3
OP-00056,2026-03-15,Metropolitana,Marketplace,Equipamiento,Completada,2.0,441036.0,318017.0,29.81
OP-00057,2026-04-17,Metropolitana,Ejecutivo,Servicios,Completada,2.0,192893.0,119858.0,20.01
OP-00058,2026-06-12,Maule,Marketplace,Repuestos,Completada,6.0,822174.0,672554.0,12.31
OP-00059,2026-07-05,Metropolitana,Ejecutivo,Equipamiento,Completada,5.0,600595.0,430344.0,13.52
OP-00060,2026-02-26,Biobío,Web,Repuestos,Completada,3.0,,349828.0,25.0
OP-00061,2026-01-15,Metropolitana,Web,Insumos,Completada,3.0,124328.0,80808.0,18.41
OP-00062,2026-08-02,Metropolitana,Ejecutivo,Servicios,Completada,5.0,524690.0,293322.0,24.65
OP-00063,2026-06-19,La Araucanía,Marketplace,Insumos,Completada,4.0,169033.0,122873.0,31.77
OP-00064,2026-08-09,Metropolitana,Web,Repuestos,Completada,2.0,304892.0,241030.0,20.88
OP-00065,2026-03-07,Antofagasta,Web,Equipamiento,Cancelada,5.0,904026.0,677433.0,12.79
OP-00066,2026-06-10,Valparaíso,Teléfono,Equipamiento,Completada,4.0,661238.0,486264.0,24.27
OP-00067,2026-08-24,Biobío,Ejecutivo,Insumos,Completada,2.0,107542.0,73905.0,14.49
OP-00068,2026-06-16,Metropolitana,Web,Insumos,Completada,1.0,54403.0,37353.0,22.29
OP-00069,2026-08-24,Metropolitana,Web,Insumos,Completada,6.0,393595.0,265229.0,29.05
OP-00070,2026-03-15,Maule,Ejecutivo,Insumos,Completada,6.0,332390.0,219090.0,37.43
OP-00071,2026-07-16,Antofagasta,Web,Equipamiento,Completada,5.0,1137528.0,772793.0,16.4
OP-00072,2026-05-09,Valparaíso,Marketplace,Insumos,Completada,5.0,344208.0,233192.0,17.81
OP-00073,2026-03-11,Metropolitana,Ejecutivo,Equipamiento,Completada,3.0,548898.0,392732.0,12.26
OP-00074,2026-02-13,Antofagasta,Web,Insumos,Completada,2.0,114324.0,75008.0,18.86
OP-00075,2026-03-07,Metropolitana,Marketplace,Equipamiento,Completada,6.0,996014.0,746329.0,13.27
OP-00076,2026-07-08,Metropolitana,Teléfono,Equipamiento,Completada,8.0,1577950.0,1188347.0,17.39
OP-00077,2026-05-02,Metropolitana,,Servicios,Cancelada,4.0,383899.0,235088.0,14.86
OP-00078,2026-07-03,Valparaíso,Marketplace,Insumos,Completada,4.0,269195.0,182430.0,10.17
OP-00079,2026-08-24,Biobío,Ejecutivo,Repuestos,Cancelada,2.0,196810.0,156578.0,24.36
OP-00080,2026-02-10,Antofagasta,Web,Equipamiento,Cancelada,6.0,1434816.0,1028573.0,7.42
OP-00081,2026-07-28,Metropolitana,Web,Repuestos,Completada,9.0,970837.0,781600.0,13.03
OP-00082,2026-03-04,Maule,Web,Insumos,Completada,2.0,127737.0,83082.0,8.33
OP-00083,2026-01-09,Metropolitana,Ejecutivo,Equipamiento,Completada,5.0,764208.0,514815.0,10.96
OP-00084,2026-07-08,Metropolitana,Marketplace,Repuestos,Completada,2.0,359927.0,321576.0,22.79
OP-00085,2026-04-02,Metropolitana,Ejecutivo,Servicios,Completada,4.0,229507.0,144833.0,22.68
OP-00086,2026-06-12,La Araucanía,,Insumos,Completada,3.0,206204.0,147282.0,27.83
OP-00087,2026-05-14,Maule,Marketplace,Insumos,Completada,3.0,172378.0,125329.0,17.64
OP-00088,2026-01-06,Maule,Ejecutivo,Insumos,Completada,4.0,196806.0,133297.0,21.55
OP-00089,2026-04-16,Metropolitana,Marketplace,Servicios,Completada,7.0,561091.0,349483.0,24.75
OP-00090,2026-04-10,Valparaíso,Web,Equipamiento,Completada,3.0,531062.0,358121.0,14.49
OP-00091,2026-07-17,Antofagasta,Web,Equipamiento,Completada,1.0,157969.0,122931.0,16.64
OP-00092,2026-05-26,Metropolitana,Ejecutivo,Servicios,Completada,5.0,426270.0,243959.0,26.34
OP-00093,2026-04-13,Metropolitana,Ejecutivo,Repuestos,Completada,6.0,872802.0,725803.0,15.21
OP-00094,2026-04-06,Valparaíso,,Servicios,Completada,3.0,183197.0,100383.0,14.86
OP-00095,2026-03-16,Metropolitana,Ejecutivo,Equipamiento,Pendiente,3.0,578703.0,415251.0,11.37
OP-00096,2026-02-03,Metropolitana,Ejecutivo,Equipamiento,Cancelada,3.0,483343.0,343252.0,11.21
OP-00097,2026-06-01,Metropolitana,Web,Equipamiento,Completada,5.0,885071.0,614764.0,22.73
OP-00098,2026-08-04,Metropolitana,Marketplace,Insumos,Completada,2.0,125911.0,93262.0,13.13
OP-00099,2026-02-11,La Araucanía,Web,Insumos,Completada,8.0,,244008.0,53.31
OP-00100,2026-08-16,Metropolitana,Web,Equipamiento,Completada,3.0,681103.0,446165.0,18.33
OP-00101,2026-06-28,Metropolitana,Ejecutivo,Servicios,Completada,3.0,437898.0,279307.0,8.03
OP-00102,2026-06-25,Biobío,Web,Equipamiento,Completada,4.0,905436.0,622651.0,24.5
OP-00103,2026-06-24,Metropolitana,Marketplace,Equipamiento,Completada,2.0,374910.0,277013.0,24.92
OP-00104,2026-07-25,Metropolitana,Marketplace,Insumos,Completada,3.0,94909.0,69096.0,16.37
OP-00105,2026-04-12,Biobío,Web,Servicios,Cancelada,1.0,95617.0,58465.0,8.9
OP-00106,2026-04-21,Metropolitana,Ejecutivo,Equipamiento,Completada,2.0,418682.0,297011.0,15.66
OP-00107,2026-05-18,Antofagasta,Marketplace,Servicios,Completada,3.0,333200.0,195064.0,19.35
OP-00108,2026-07-22,Metropolitana,Ejecutivo,Insumos,Completada,2.0,120381.0,78440.0,148.78
OP-00109,2026-05-08,Metropolitana,Marketplace,Equipamiento,Completada,4.0,932543.0,712680.0,14.52
OP-00110,2026-04-05,Valparaíso,Ejecutivo,Repuestos,Completada,3.0,382596.0,325220.0,30.18
OP-00111,2026-07-06,Valparaíso,Ejecutivo,Equipamiento,Completada,6.0,1120432.0,822208.0,27.55
OP-00112,2026-08-06,Antofagasta,Ejecutivo,Repuestos,Completada,6.0,599339.0,492559.0,19.5
OP-00113,2026-05-30,Valparaíso,Teléfono,Servicios,Completada,5.0,393319.0,228354.0,12.62
OP-00114,2026-02-10,La Araucanía,Ejecutivo,Insumos,Completada,6.0,366081.0,261094.0,39.34
OP-00115,2026-02-21,Biobío,Ejecutivo,Servicios,Pendiente,5.0,435616.0,251914.0,23.4
OP-00116,2026-08-30,Metropolitana,Ejecutivo,Equipamiento,Completada,1.0,152709.0,108776.0,15.59
OP-00117,2026-05-14,Metropolitana,Web,Servicios,Completada,4.0,476413.0,276019.0,19.5
OP-00118,2026-01-20,Biobío,Web,Repuestos,Completada,4.0,492228.0,439536.0,14.54
OP-00119,2026-06-23,Metropolitana,Ejecutivo,Servicios,Completada,6.0,621202.0,360076.0,19.53
OP-00120,2026-04-18,Metropolitana,Web,,Completada,3.0,384761.0,304989.0,24.51
OP-00121,2026-07-02,Valparaíso,Teléfono,Insumos,Completada,8.0,526320.0,368877.0,42.67
OP-00122,2026-05-03,Metropolitana,Web,Insumos,Completada,8.0,486270.0,337991.0,14.79
OP-00123,2026-07-18,Biobío,Teléfono,Repuestos,Completada,7.0,695443.0,556144.0,35.03
OP-00124,2026-05-05,Biobío,Marketplace,Insumos,Completada,3.0,166050.0,118733.0,13.37
OP-00125,2026-08-15,Valparaíso,Web,Servicios,Completada,6.0,454209.0,266667.0,20.56
OP-00126,2026-07-30,Valparaíso,Web,Insumos,Completada,3.0,172750.0,127343.0,23.35
OP-00127,2026-05-14,Metropolitana,Web,Repuestos,Completada,4.0,523884.0,427515.0,24.71
OP-00128,2026-02-11,Metropolitana,Web,Insumos,Completada,4.0,278344.0,200222.0,15.48
OP-00129,2026-08-01,Valparaíso,Ejecutivo,Insumos,Completada,4.0,224601.0,160724.0,21.31
OP-00130,2026-04-07,Metropolitana,Web,Insumos,Completada,6.0,351942.0,246822.0,12.17
OP-00131,2026-02-11,Maule,Ejecutivo,Insumos,Completada,4.0,155158.0,103960.0,16.1
OP-00132,2026-01-03,Metropolitana,Marketplace,Servicios,Pendiente,4.0,316121.0,199543.0,12.59
OP-00133,2026-08-05,Maule,Web,Repuestos,Completada,3.0,484204.0,393256.0,24.62
OP-00134,2026-02-14,Metropolitana,Ejecutivo,Insumos,Completada,5.0,392036.0,262771.0,14.84
OP-00135,2026-07-31,Valparaíso,Web,Repuestos,Completada,3.0,403216.0,341822.0,25.8
OP-00136,2026-05-08,Metropolitana,Web,Insumos,Completada,6.0,298714.0,209888.0,15.83
OP-00137,2026-05-11,Valparaíso,Ejecutivo,Servicios,Completada,3.0,237764.0,132338.0,16.57
OP-00138,2026-05-21,Metropolitana,,Equipamiento,Completada,3.0,697427.0,514738.0,12.83
OP-00139,2026-01-31,Metropolitana,Ejecutivo,Equipamiento,Completada,1.0,197528.0,149079.0,33.29
OP-00140,2026-05-13,Maule,Web,Insumos,Completada,4.0,184401.0,125776.0,7.96
OP-00141,2026-08-10,Valparaíso,Web,Servicios,Completada,4.0,333195.0,199890.0,15.93
OP-00142,2026-02-13,La Araucanía,Web,Repuestos,Completada,2.0,259830.0,226445.0,42.45
OP-00143,2026-02-18,Metropolitana,Ejecutivo,Insumos,Completada,5.0,340432.0,248475.0,11.25
OP-00144,2026-05-09,Metropolitana,Web,Insumos,Completada,10.0,834035.0,550486.0,16.52
OP-00145,2026-07-27,Valparaíso,Marketplace,Servicios,Completada,2.0,171055.0,98194.0,19.37
OP-00146,2026-07-12,Biobío,Marketplace,Repuestos,Pendiente,1.0,86562.0,69988.0,18.89
OP-00147,2026-07-16,Antofagasta,Ejecutivo,Repuestos,Cancelada,4.0,651679.0,525075.0,39.35
OP-00148,2026-05-17,Maule,Ejecutivo,Insumos,Completada,4.0,157907.0,104801.0,8.88
OP-00149,2026-04-12,Metropolitana,Marketplace,Equipamiento,Completada,5.0,887805.0,666798.0,28.25
OP-00150,2026-02-08,Metropolitana,Marketplace,Servicios,Completada,7.0,677455.0,405066.0,23.68
OP-00151,2026-06-05,Metropolitana,Teléfono,Equipamiento,Completada,8.0,1351246.0,966981.0,34.5
OP-00152,2026-07-28,Biobío,Ejecutivo,Repuestos,Completada,4.0,477120.0,388608.0,31.34
OP-00153,2026-07-24,La Araucanía,Teléfono,Repuestos,Pendiente,4.0,605977.0,536360.0,29.51
OP-00154,2026-04-11,Metropolitana,Marketplace,Insumos,Completada,6.0,304383.0,239612.0,11.56
OP-00155,2026-03-21,Metropolitana,Ejecutivo,Insumos,Completada,1.0,65760.0,46592.0,18.29
OP-00156,2026-08-30,Metropolitana,Web,Insumos,Completada,2.0,101540.0,72362.0,5.78
OP-00157,2026-06-07,Metropolitana,Teléfono,Repuestos,Completada,3.0,612136.0,475365.0,25.16
OP-00158,2026-08-06,Metropolitana,Ejecutivo,Repuestos,Completada,3.0,543440.0,423616.0,13.12
OP-00159,2026-06-17,Maule,Web,Servicios,Pendiente,5.0,337617.0,184547.0,14.45
OP-00160,2026-05-04,Metropolitana,Web,Repuestos,Completada,4.0,499604.0,426521.0,22.08
OP-00161,2026-08-21,La Araucanía,Ejecutivo,Insumos,Pendiente,3.0,146908.0,106255.0,14.85
OP-00162,2026-07-06,Metropolitana,Marketplace,Insumos,Completada,3.0,214765.0,155641.0,10.73
OP-00163,2026-05-24,Biobío,Web,Servicios,Completada,5.0,432391.0,268060.0,12.93
OP-00164,2026-04-17,Maule,Ejecutivo,Servicios,Completada,5.0,463346.0,267544.0,17.94
OP-00165,2026-03-06,Valparaíso,Ejecutivo,Insumos,Completada,7.0,422032.0,290256.0,14.01
OP-00166,2026-04-02,Valparaíso,Ejecutivo,Repuestos,Completada,3.0,499142.0,408870.0,13.78
OP-00167,2026-05-14,Metropolitana,Teléfono,Servicios,Pendiente,1.0,119515.0,66165.0,26.12
OP-00168,2026-01-11,Metropolitana,Web,Servicios,Completada,5.0,369153.0,214603.0,27.0
OP-00169,2026-05-15,Valparaíso,Web,Equipamiento,Completada,3.0,640770.0,477800.0,9.98
OP-00170,2026-03-08,Metropolitana,Marketplace,Servicios,Completada,9.0,860800.0,525742.0,19.88
OP-00171,2026-08-15,Biobío,Web,Equipamiento,Completada,6.0,1425103.0,1030391.0,15.41
OP-00172,2026-02-20,Metropolitana,Teléfono,Insumos,Cancelada,5.0,274960.0,182732.0,14.25
OP-00173,2026-06-22,Maule,Ejecutivo,Insumos,Pendiente,8.0,420775.0,280313.0,22.97
OP-00174,2026-03-11,Metropolitana,Ejecutivo,Equipamiento,Cancelada,10.0,1761159.0,1299101.0,14.46
OP-00175,2026-06-17,Metropolitana,Web,Insumos,Cancelada,6.0,423020.0,,36.57
OP-00176,2026-02-26,Metropolitana,Ejecutivo,Repuestos,Completada,1.0,106509.0,83624.0,8.28
OP-00177,2026-05-15,Metropolitana,Web,Insumos,Completada,6.0,278862.0,174838.0,10.71
OP-00178,2026-05-23,Metropolitana,Marketplace,Insumos,Completada,6.0,265225.0,181009.0,10.42
OP-00179,2026-05-03,Valparaíso,Marketplace,Servicios,Completada,5.0,523259.0,293857.0,12.47
OP-00180,2026-08-11,Metropolitana,Web,Equipamiento,Completada,3.0,626266.0,465361.0,16.22
OP-00181,2026-06-19,Antofagasta,Ejecutivo,Equipamiento,Completada,3.0,551493.0,385377.0,16.11
OP-00182,2026-07-03,Metropolitana,Web,Insumos,Completada,3.0,143581.0,101328.0,18.95
OP-00183,2026-04-01,Metropolitana,Web,Equipamiento,Completada,4.0,766327.0,538307.0,8.1
OP-00184,2026-08-08,La Araucanía,Ejecutivo,Equipamiento,Completada,6.0,1070223.0,835271.0,18.4
OP-00185,2026-04-22,Metropolitana,Web,Insumos,Completada,7.0,303708.0,196785.0,13.5
OP-00186,2026-07-14,Metropolitana,Web,Equipamiento,Completada,3.0,640049.0,479230.0,14.32
OP-00187,2026-04-26,Biobío,Ejecutivo,Equipamiento,Pendiente,76.0,8324102.0,5801157.0,13.89
OP-00188,2026-01-14,Metropolitana,Web,Insumos,Completada,4.0,240413.0,162995.0,32.95
OP-00189,2026-03-06,Metropolitana,Web,Servicios,Completada,4.0,679977.0,390906.0,17.71
OP-00190,2026-03-07,Antofagasta,Marketplace,Equipamiento,Completada,1.0,179778.0,134224.0,8.47
OP-00191,2026-03-12,Metropolitana,Web,Equipamiento,Completada,3.0,455928.0,314835.0,18.45
OP-00192,2026-03-03,Metropolitana,Ejecutivo,Insumos,Cancelada,7.0,363552.0,225995.0,5.8
OP-00193,2026-08-20,La Araucanía,Web,Servicios,Completada,4.0,359122.0,223016.0,22.73
OP-00194,2026-05-29,La Araucanía,Web,Insumos,Completada,6.0,282720.0,202439.0,15.98
OP-00195,2026-07-31,Metropolitana,,Servicios,Completada,3.0,282786.0,164675.0,11.64
OP-00196,2026-07-10,Valparaíso,Marketplace,Insumos,Cancelada,6.0,328274.0,223844.0,35.34
OP-00197,2026-06-07,La Araucanía,Ejecutivo,Servicios,Completada,2.0,177837.0,109577.0,23.17
OP-00198,2026-01-25,Metropolitana,Web,Equipamiento,Completada,4.0,685716.0,471549.0,24.69
OP-00199,2026-07-03,Metropolitana,Marketplace,Insumos,Completada,6.0,255377.0,177333.0,11.05
OP-00200,2026-07-19,Maule,Web,Repuestos,Completada,3.0,390033.0,315433.0,28.77
OP-00201,2026-04-06,La Araucanía,Web,Repuestos,Cancelada,6.0,605027.0,500703.0,33.36
OP-00202,2026-02-02,Metropolitana,Web,Equipamiento,Completada,5.0,1218667.0,892206.0,23.01
OP-00203,2026-04-17,Maule,Marketplace,Equipamiento,Completada,3.0,697419.0,519200.0,11.03
OP-00204,2026-07-22,Metropolitana,Marketplace,Insumos,Completada,6.0,276091.0,192845.0,26.64
OP-00205,2026-02-14,Metropolitana,Ejecutivo,Equipamiento,Completada,5.0,918969.0,685194.0,10.79
OP-00206,2026-08-06,Valparaíso,Web,Equipamiento,Completada,1.0,144541.0,105638.0,18.72
OP-00207,2026-02-25,Metropolitana,Ejecutivo,Servicios,Completada,5.0,408624.0,237062.0,14.97
OP-00208,2026-04-19,Metropolitana,Web,Equipamiento,Completada,9.0,1565302.0,1071806.0,17.16
OP-00209,2026-04-13,Valparaíso,Web,Insumos,Completada,1.0,57813.0,37806.0,19.76
OP-00210,2026-03-02,Metropolitana,Web,Insumos,Completada,5.0,221765.0,144745.0,17.36
OP-00211,2026-05-20,Metropolitana,Ejecutivo,Insumos,Completada,5.0,315260.0,213348.0,9.2
OP-00212,2026-03-26,Metropolitana,Ejecutivo,Insumos,Completada,2.0,102112.0,68176.0,18.17
OP-00213,2026-05-01,Antofagasta,,Insumos,Pendiente,6.0,392898.0,276715.0,22.89
OP-00214,2026-03-10,Maule,Web,Equipamiento,Completada,6.0,1045482.0,714637.0,25.92
OP-00215,2026-06-02,Metropolitana,Ejecutivo,Insumos,Completada,9.0,547780.0,367093.0,28.59
OP-00216,2026-01-10,Metropolitana,Web,Equipamiento,Completada,6.0,1600086.0,1137057.0,10.47
OP-00217,2026-04-01,Metropolitana,,Insumos,Completada,4.0,191617.0,129288.0,17.52
OP-00218,2026-07-07,Metropolitana,Web,Equipamiento,Completada,9.0,2004870.0,1374645.0,23.45
OP-00219,2026-04-09,Metropolitana,Web,Insumos,Completada,4.0,239824.0,167185.0,9.65
OP-00220,2026-05-02,Metropolitana,Teléfono,Servicios,Completada,4.0,360693.0,200296.0,20.87
OP-00221,2026-05-26,Metropolitana,Web,Insumos,Completada,2.0,106191.0,69409.0,11.79
OP-00222,2026-07-06,Valparaíso,Marketplace,Servicios,Completada,5.0,483129.0,288533.0,13.47
OP-00223,2026-07-02,Metropolitana,Web,Repuestos,Completada,7.0,972624.0,743620.0,31.28
OP-00224,2026-08-16,Valparaíso,Ejecutivo,Insumos,Completada,3.0,175393.0,129309.0,17.98
OP-00225,2026-08-07,Metropolitana,Web,Equipamiento,Completada,7.0,1350643.0,1020538.0,9.88
OP-00226,2026-07-20,Valparaíso,Web,Insumos,Completada,5.0,214133.0,142550.0,28.54
OP-00227,2026-01-03,Metropolitana,Ejecutivo,Insumos,Completada,5.0,316529.0,211714.0,14.6
OP-00228,2026-07-19,Metropolitana,Web,Servicios,Cancelada,3.0,278669.0,157781.0,112.82
OP-00229,2026-06-13,Valparaíso,Web,Insumos,Completada,3.0,139211.0,93309.0,19.51
OP-00230,2026-06-26,Valparaíso,Web,Insumos,Completada,6.0,320068.0,228633.0,11.18
OP-00231,2026-05-12,Biobío,Web,Repuestos,Pendiente,5.0,1033005.0,841852.0,24.75
OP-00232,2026-04-29,Maule,Teléfono,Equipamiento,Completada,1.0,185021.0,137017.0,7.91
OP-00233,2026-05-10,Maule,Ejecutivo,Servicios,Completada,9.0,1185928.0,724559.0,24.86
OP-00234,2026-02-27,Valparaíso,Web,Servicios,Completada,4.0,394256.0,228236.0,14.49
OP-00235,2026-02-11,Biobío,Teléfono,Insumos,Cancelada,2.0,110763.0,,15.67
OP-00236,2026-06-09,Antofagasta,Ejecutivo,Repuestos,Completada,4.0,403294.0,316723.0,45.1
OP-00237,2026-02-28,La Araucanía,Ejecutivo,Equipamiento,Completada,1.0,106560.0,80724.0,30.1
OP-00238,2026-04-12,Valparaíso,Web,Repuestos,Completada,8.0,1311855.0,1043367.0,26.58
OP-00239,2026-06-17,Metropolitana,Ejecutivo,Servicios,Completada,4.0,308140.0,173548.0,19.01
OP-00240,2026-03-14,La Araucanía,,Insumos,Cancelada,2.0,97842.0,67898.0,28.09
OP-00241,2026-07-29,Valparaíso,Web,Insumos,Completada,2.0,140322.0,103943.0,27.39
OP-00242,2026-03-28,Metropolitana,Teléfono,Insumos,Completada,4.0,293434.0,197074.0,13.99
OP-00243,2026-07-17,Valparaíso,Ejecutivo,Insumos,Completada,3.0,132956.0,86592.0,14.89
OP-00244,2026-07-03,Antofagasta,Web,Insumos,Completada,5.0,325380.0,210412.0,24.73
OP-00245,2026-08-15,Antofagasta,Web,Equipamiento,Completada,3.0,641335.0,461747.0,34.11
OP-00246,2026-06-04,Valparaíso,Web,Insumos,Completada,5.0,177405.0,115840.0,19.94
OP-00247,2026-05-16,Metropolitana,Web,Equipamiento,Completada,7.0,1520610.0,1125785.0,12.81
OP-00248,2026-02-16,Metropolitana,Web,Equipamiento,Completada,6.0,614362.0,465794.0,17.0
OP-00249,2026-06-09,Metropolitana,Marketplace,Equipamiento,Completada,1.0,191446.0,139765.0,17.22
OP-00250,2026-07-15,Biobío,Web,Equipamiento,Completada,3.0,695632.0,530403.0,16.98
OP-00251,2026-07-05,Metropolitana,Ejecutivo,Equipamiento,Completada,7.0,1203045.0,790019.0,27.44
OP-00252,2026-03-22,Metropolitana,Ejecutivo,Servicios,Completada,1.0,69166.0,42077.0,23.05
OP-00253,2026-07-15,Metropolitana,Ejecutivo,Servicios,Completada,3.0,257525.0,156484.0,27.19
OP-00254,2026-08-07,Valparaíso,Web,Equipamiento,Completada,4.0,697655.0,492114.0,13.1
OP-00255,2026-07-09,Valparaíso,Teléfono,Repuestos,Completada,2.0,175941.0,144925.0,15.12
OP-00256,2026-07-12,Metropolitana,Web,Insumos,Completada,2.0,132213.0,96484.0,19.97
OP-00257,2026-03-13,Antofagasta,Web,Insumos,Completada,2.0,66761.0,44861.0,23.59
OP-00258,2026-05-10,Metropolitana,Ejecutivo,Repuestos,Completada,6.0,901540.0,755605.0,12.54
OP-00259,2026-08-07,Metropolitana,Web,Insumos,Completada,7.0,371439.0,237220.0,20.84
OP-00260,2026-04-25,Maule,Teléfono,Equipamiento,Completada,5.0,1025241.0,762716.0,15.79
OP-00261,2026-07-06,Metropolitana,Web,Servicios,Completada,5.0,575103.0,342219.0,26.38
OP-00262,2026-04-10,Metropolitana,Ejecutivo,Equipamiento,Cancelada,4.0,646300.0,465080.0,18.07
OP-00263,2026-08-20,Metropolitana,Marketplace,Insumos,Completada,3.0,146301.0,101369.0,13.85
OP-00264,2026-06-12,Metropolitana,Teléfono,Insumos,Completada,3.0,218710.0,149251.0,24.1
